"Country","pbi"
"China",2.536e+13
"United States",1.949e+13
"India",9.474e+12
"Japan",5.443e+12
"Germany",4.199e+12
"Russia",4.016e+12
"Indonesia",3.25e+12
"Brazil",3.248e+12
"United Kingdom",2.925e+12
"France",2.856e+12
"Mexico",2.463e+12
"Italy",2.317e+12
"Turkey",2.186e+12
"South Korea",2.035e+12
"Spain",1.778e+12
"Saudi Arabia",1.775e+12
"Canada",1.774e+12
"Iran",1.64e+12
"Australia",1.248e+12
"Thailand",1.236e+12
"Egypt",1.204e+12
"Taiwan",1.189e+12
"Poland",1.126e+12
"Nigeria",1.121e+12
"Pakistan",1.061e+12
"Malaysia",9.333e+11
"Netherlands",9.244e+11
"Argentina",9.221e+11
"Philippines",8.772e+11
"South Africa",7.672e+11
"Colombia",7.116e+11
"United Arab Emirates",6.96e+11
"Bangladesh",6.903e+11
"Iraq",6.493e+11
"Vietnam",6.487e+11
"Algeria",6.3e+11
"Belgium",5.292e+11
"Singapore",5.281e+11
"Switzerland",5.231e+11
"Sweden",5.18e+11
"Romania",4.834e+11
"Hong Kong",4.805e+11
"Kazakhstan",4.786e+11
"Chile",4.521e+11
"Austria",4.41e+11
"Peru",4.303e+11
"Venezuela",3.816e+11
"Norway",3.812e+11
"Czechia",3.759e+11
"Ukraine",3.696e+11
"Ireland",3.533e+11
"Qatar",3.395e+11
"Burma",3.298e+11
"Israel",3.171e+11
"Portugal",3.141e+11
"Greece",2.993e+11
"Morocco",2.986e+11
"Kuwait",2.897e+11
"Hungary",2.896e+11
"Denmark",2.878e+11
"Sri Lanka",2.758e+11
"Finland",2.449e+11
"Uzbekistan",2.23e+11
"Ethiopia",2.006e+11
"Angola",1.936e+11
"Ecuador",1.93e+11
"Oman",1.901e+11
"New Zealand",1.89e+11
"Slovakia",1.797e+11
"Belarus",1.794e+11
"Sudan",1.774e+11
"Dominican Republic",1.73e+11
"Azerbaijan",1.722e+11
"Kenya",1.637e+11
"Tanzania",1.625e+11
"Bulgaria",1.535e+11
"Guatemala",1.381e+11
"Tunisia",1.377e+11
"Cuba",1.37e+11
"Ghana",1.34e+11
"Puerto Rico",1.3e+11
"Serbia",1.057e+11
"Panama",1.041e+11
"Turkmenistan",1.037e+11
"Croatia",1.021e+11
"Cote d'Ivoire",9.716e+10
"Lithuania",9.147e+10
"Cameroon",8.954e+10
"Uganda",8.919e+10
"Jordan",8.9e+10
"Paraguay",8.891e+10
"Lebanon",8.825e+10
"Costa Rica",8.394e+10
"Bolivia",8.372e+10
"Nepal",7.919e+10
"Uruguay",7.816e+10
"Macau",7.733e+10
"Yemen",7.363e+10
"Slovenia",7.123e+10
"Bahrain",7.117e+10
"Afghanistan",6.945e+10
"Zambia",6.893e+10
"Dem. Rep. of the Congo",6.86e+10
"Cambodia",6.421e+10
"Luxembourg",6.211e+10
"Libya",6.197e+10
"Senegal",5.48e+10
"Latvia",5.402e+10
"El Salvador",5.117e+10
"Syria",5.028e+10
"Laos",4.934e+10
"Honduras",4.63e+10
"Bosnia and Herzegovina",4.483e+10
"Mongolia",4.354e+10
"Trinidad and Tobago",4.285e+10
"Estonia",4.165e+10
"Mali",4.122e+10
"North Korea",4e+10
"Georgia",3.985e+10
"Madagascar",3.985e+10
"Botswana",3.901e+10
"Mozambique",3.709e+10
"Gabon",3.666e+10
"Nicaragua",3.64e+10
"Albania",3.601e+10
"Burkina Faso",3.585e+10
"Zimbabwe",3.427e+10
"Brunei",3.387e+10
"Cyprus",3.178e+10
"Equatorial Guinea",3.152e+10
"Macedonia",3.103e+10
"Papua New Guinea",3.019e+10
