"Country","Revenue","Expenditure","Surplus","SurplusPercent"
"United States",3500000,4400000,-984000,-4.6
"China",3312308,3787245,-474937,-4
"Japan",1678000,1888000,-210000,-4.6
"Germany",1665000,1619000,46000,1.3
"France",1334000,1412000,-78000,-3.1
"United Kingdom",1077300,1120000,-43000,-1.1
"Italy",884500,927800,-43000,-2.3
"Canada",623700,657400,-34000,-2
"Brazil",618853,779532,-160679,-7.8
"India",544422,725052,-180630,-6.9
"Spain",492400,535900,-43500,-3.3
"Australia",461000,484900,-23900,-1.7
"South Korea",351600,338000,13600,0.6
"Netherlands",344800,340200,4600,0.6
"Mexico",292800,314900,-22100,-1.9
"Sweden",274800,269900,4900,0.9
"Saudi Arabia",260000,294933,-34933,NA
"Russia",253900,287500,-33600,-2.3
"Belgium",249700,260000,-10300,-2.1
"Switzerland",223500,222100,1400,0.2
"Norway",214300,198000,16300,4.2
"Austria",197800,201900,-4100,-1
"Turkey",173900,190400,-16500,-2
"Denmark",173500,175500,-2000,-0.6
"Finland",136800,140700,-3900,-1.6
"Indonesia",130600,154800,-24200,-2.4
"Argentina",123300,161100,-37800,-6.1
"Greece",95360,98080,-2720,-1.3
"Taiwan",93000,91670,1330,0.2
"Portugal",92990,96830,-3840,-1.8
"Israel",92820,102100,-9280,-2.7
"South Africa",92380,103300,-10920,-3.2
"Poland",90800,102200,-11400,-2.2
"Thailand",88000,107000,-19000,-8
"Ireland",85410,87220,-1810,-0.6
"Colombia",85140,95280,-10140,-3.3
"Czech Republic",83620,83930,-310,-0.1
"United Arab Emirates",83440,112400,-28960,-7.6
"Venezuela",77890,160000,-82110,-38.1
"Iran",77220,86260,-9020,-2.1
"New Zealand",73200,71900,1300,0.7
"Hong Kong",66190,62860,3330,1
"Iraq",63970,76350,-12380,-6.4
"Hungary",63630,66960,-3330,-2.5
"Peru",59660,65480,-5820,-2.8
"Romania",58500,65540,-7040,-3.4
"Chile",56730,64890,-8160,-3.1
"Vietnam",54590,69370,-14780,-6.7
"Singapore",53400,56490,-3090,-1
"Kuwait",52870,61390,-8520,-7.2
"Cuba",52360,60570,-8210,-10.1
"Algeria",52080,70740,-18660,-10.6
"Malaysia",51230,60260,-9030,-2.9
"Pakistan",45640,59280,-13640,-4.5
"Philippines",44740,53550,-8810,-2.7
"Bangladesh",44436,61536,NA,NA
"Qatar",41470,54970,-13500,-8.1
"Slovakia",37090,38520,-1430,-1.5
"Ukraine",35600,38910,-3310,-3.2
"Angola",35590,44640,-9050,-7.3
"Egypt",42320,62610,-20290,-8.6
"Kazakhstan",34130,37890,-3760,-2.4
"Ecuador",32300,37700,-5400,-5.5
"Luxembourg",27600,27380,220,0.4
"Morocco",26630,30710,-4080,-3.7
"Croatia",25790,26920,-1130,-2.1
"Belarus",22800,22540,260,0.5
"Oman",22680,32070,-9390,-13
"Uzbekistan",20110,19920,190,0.3
"Slovenia",20200,20970,-770,-1.6
"Bulgaria",19530,20310,-780,-1.4
"Uruguay",17690,19900,-2210,-3.7
"Libya",16330,22320,-5990,-18
"Serbia",16250,16930,-680,-1.7
"Lithuania",21180,21630,-450,-1
"Kenya",15370,20180,-4810,-6.1
"Bolivia",15010,17350,-2340,-6.2
"Macau",14240,10550,3690,7.2
"Nigeria",13970,22150,-8180,-2.1
"Sri Lanka",12640,16660,-4020,-4.8
"Panama",12600,13560,-960,-1.6
"Ethiopia",12110,14630,-2520,-3.2
"Dominican Republic",11180,12770,-1590,-2.1
"Lebanon",10900,15990,-5090,-9.7
"Latvia",10130,10430,-300,-1
"Azerbaijan",9852,10400,-548,-1.4
"Iceland",9962,9735,227,0.9
"Estonia",9772,9890,-118,-0.5
"Tunisia",9397,11610,-2213,-5.6
"Puerto Rico",9268,9974,-706,-0.7
"Ghana",9236,12380,-3144,-6.9
"Burma",9211,11450,-2239,-3.3
"Jordan",9157,11810,-2653,-6.5
"Guatemala",8335,9600,-1265,-1.8
"Costa Rica",8262,11340,-3078,-5.2
"Sudan",8198,13400,-5202,-4.4
"Tanzania",7872,9271,-1399,-2.7
"Bosnia and Herzegovina",7798,7996,-198,-1.1
"Cyprus",7677,7875,-198,-0.9
"Cote d'Ivoire",7121,8886,-1765,-4.4
"Trinidad and Tobago",6916,7838,-922,-4.5
"Nepal",6993,8833,-1840,NA
"El Salvador",5756,6751,-995,-3.6
"Botswana",5609,6072,-463,-2.8
"Bahrain",5463,9281,-3818,-11.3
"Paraguay",5366,5876,-510,-1.8
"Cameroon",5154,6964,-1810,-5.9
"Zambia",4895,7050,-2155,-8.4
"Honduras",4376,5086,-710,-3.1
"Turkmenistan",4436,4703,-267,-0.6
"Malta",4295,4354,-59,-0.5
"Cambodia",4268,4690,-422,-1.9
"Georgia",4260,4852,-592,-3.9
"Jamaica",4207,4150,57,0.4
"Uganda",4019,5268,-1249,-4.7
"Namibia",3967,4759,-792,-6.3
"Senegal",3863,4474,-611,-3.8
"Nicaragua",3800,4074,-274,-2
"Papua New Guinea",3649,4763,-1114,-5.1
"Zimbabwe",3600,4800,-1200,-7
"Albania",3486,3765,-279,-2.1
"Yemen",3467,5232,-1765,-6.9
"North Macedonia",3314,3655,-341,-3
"Dem. Rep. of the Congo",3238,3366,-128,-0.3
"North Korea",3200,3300,-100,NA
"Laos",3144,4098,-954,-5.6
"Equatorial Guinea",3186,3431,-245,-2.4
"Gabon",3122,3991,-869,-6
"Mali",3068,3584,-516,-3.4
"Mauritius",2912,3337,-425,-3.5
"Moldova",2796,3027,-231,-2.9
"Mozambique",2758,3607,-849,-6.9
"Palestine",2750,4077,-1327,-9.9
"Burkina Faso",2635,3332,-697,-5.3
"Mongolia",2623,3711,-1088,-10
"Armenia",2536,2910,-374,-3.4
"Rep. of the Congo",2516,3336,-820,-10.5
"Tajikistan",2214,2316,-102,-1.4
"Kyrgyzstan",2050,2304,-254,-3.6
"Bahamas",2100,2600,-500,-5.5
"Eritrea",2029,2601,-585,-9.5
"Afghanistan",1992,6636,-4644,-22.1
"French Polynesia",1891,1833,58,NA
"Rwanda",1874,2255,-381,-4.3
"Andorra",1872,2060,-322,-6.9
"Niger",1680,2235,-555,-6
"Montenegro",1620,1950,-330,-7.5
"Haiti",1580,2251,-671,-8
"Greenland",1578,1876,-298,-13.5
"Guinea",1559,1868,-309,-3.4
"Togo",1469,1700,-231,-4.8
"Fiji",1446,1687,-241,-4.8
"Brunei",1435,4017,-2582,-21.6
"Kosovo",1396,1610,-214,-3.2
"Benin",1372,2261,-889,-9.4
"Barbados",1350,1650,-300,-6.2
"Malawi",1298,1612,-314,-5
"Madagascar",1292,1725,-443,-4.1
"Mauritania",1248,1301,-53,-1.1
"US Virgin Islands",1223,1551,-328,NA
"Chad",1178,1522,-344,-3.5
"Swaziland",1150,1475,-325,-8.1
"Guam",1147,1188,-41,NA
"Lesotho",1057,1160,-103,-3.8
"Syria",1033,3177,-2144,-8.7
"Faroe Islands",836,884,-48,-1.7
"New Caledonia",996,1072,-76,NA
"Liechtenstein",995,890,105,1.6
"Isle of Man",965,943,22,NA
"Bermuda",960,1154,-194,NA
"Maldives",960,1156,-196,-3.7
"Guyana",939,1152,-213,-5.9
"Monaco",915,973,-59,-0.9
"Cayman Islands",870,732,138,6.2
"Jersey",829,851,-22,NA
"Djibouti",700,865,-165,-8
"Aruba",697,752,-55,NA
"Bhutan",693,819,-126,-5.4
"Sierra Leone",684,963,-279,-7.1
"San Marino",668,713,-45,-2.9
"Liberia",626,728,-102,-4.7
"Burundi",608,749,-141,-4.2
"Seychelles",572,557,15,1
"Guernsey",564,531,33,NA
"Suriname",546,806,-260,-7.1
"Belize",500,550,-50,-2.7
"Gibraltar",476,452,24,NA
"South Sudan",437,2259,-1822,-62.5
"Cabo Verde",437,464,-27,-1.5
"Solomon Islands",435,472,-37,-2.9
"Saint Lucia",402,431,-29,-1.7
"Saint Kitts and Nevis",370,370,0,0
"Vatican City",315,348,-33,NA
"Timor-Leste",300,2200,-1900,-70
"British Virgin Islands",300,300,0,NA
"Antigua and Barbuda",296,323,-27,-1.8
"Grenada",269,285,-16,-0.5
"Somalia",260.1,260.1,0,NA
"Northern Mariana Islands",246,250,-3,NA
"American Samoa",241,244,-3,NA
"Samoa",233,272,-39,NA
"Central African Republic",231,271,-40,-2
"Turks and Caicos Islands",226,187,38,NA
"Guinea-Bissau",226,213,-41,-3.2
"Saint Vincent and the Grenadines",222,267,-37,-4.5
"Micronesia",214,192,22,NA
"Vanuatu",204,207,-3,-0.5
"Kiribati",198,180,18,NA
"Gambia",187,370,-183,-17.6
"Comoros",149,183,-34,-5.2
"Dominica",148,148,0,NA
"Tonga",133,133,0,NA
"Palau",124,98,26,NA
"Marshall Islands",117,114,3,NA
"Sao Tome and Principe",114,123,-7,-2.5
"Anguilla",95,86,8,NA
"Cook Islands",87,78,9,NA
"Saint Pierre and Miquelon",70,60,10,NA
"Falkland Islands",67,75,-8,NA
"Nauru",58,52,6,NA
"Tuvalu",43,32,10,NA
"Montserrat",37,37,0,NA
"Niue",15,16,-1,NA
"Saint Helena and Dependencies",9,22,-13,NA
"Norfolk Island",5,5,0,NA
"Pitcairn Islands",1,1,0,NA
"Tokelau",1,3,-2,NA
"Wallis and Futuna",NA,NA,NA,NA
"Christmas Island",NA,NA,NA,NA
"Cocos (Keeling) Islands",NA,NA,NA,NA
"Svalbard",NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA
